code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
600837,海通证券,"Haitong Securities Co., Ltd.",0.51,0,2,0,False,13.85,13.94,13.7,13.93,13.86,0.07,1.73,317830.21,439854.297,SH,0.3928,0.78,13.88,0.58,13.92,-0.14,13.92,0.22
600848,上海临港,"Shanghai Lingang Holdings Co.,Ltd.",1.23,0,2,0,False,24.45,24.77,24.04,24.77,24.47,0.3,2.98,34728.89,85298.707,SH,0.4407,1.15,24.55,0.36,24.6,1.35,24.67,-0.88
600853,龙建股份,"Longjian Road&Bridge Co.,Ltd",0.98,0,2,0,False,3.05,3.11,3.04,3.1,3.07,0.03,2.28,41555.91,12845.281,SH,0.5955,1.14,3.08,0.65,3.08,0.65,3.11,1.31
600858,银座股份,"Inzone Group Co.,Ltd",0.2,0,3,2,False,4.91,4.91,4.86,4.9,4.89,0.01,1.02,21629.0,10575.675,SH,0.4179,0.87,4.88,1.03,4.88,0.41,4.83,4.7
600868,梅雁吉祥,"Guangdong Meiyan Jixiang Hydropower Co.,Ltd.",0.59,0,3,2,False,3.41,3.41,3.35,3.41,3.39,0.02,1.77,165344.52,56109.602,SH,0.8711,1.3,3.39,3.33,3.36,3.65,3.33,2.71
600871,石化油服,Sinopec Oilfield Service Corporation,1.38,0,3,0,False,2.17,2.21,2.16,2.21,2.18,0.03,2.29,173027.31,37960.254,SH,0.1437,2.42,2.19,2.79,2.17,3.76,2.15,2.79
600875,东方电气,Dongfang Electric Corporation Limited,1.37,0,3,0,False,8.76,8.88,8.64,8.88,8.76,0.12,2.74,71806.88,63286.94,SH,0.3596,1.4,8.77,3.14,8.73,3.14,8.67,1.6
600879,航天电子,"China Aerospace Times Electronics Co.,Ltd.",0.86,0,3,0,False,5.81,5.88,5.75,5.87,5.82,0.05,2.23,118548.43,69028.551,SH,0.4903,1.08,5.83,1.73,5.81,2.8,5.75,1.56
600886,国投电力,"SDIC Power Holdings Co.,Ltd.",1.66,0,3,4,False,8.44,8.6,8.37,8.57,8.43,0.14,2.73,218665.98,185794.629,SH,0.3222,0.84,8.46,6.59,8.34,3.63,8.39,-0.58
600890,中房股份,"CRED Holding Co.,Ltd",2.89,0,3,0,False,6.2,6.48,6.12,6.41,6.23,0.18,5.78,35477.56,22401.256,SH,0.6125,0.91,6.27,4.4,6.24,4.23,6.04,18.48
600894,广日股份,"Guangzhou Guangri Stock Co., Ltd.",0.69,0,2,0,False,7.19,7.26,7.12,7.25,7.2,0.05,1.94,44586.64,32079.038,SH,0.5185,1.2,7.19,1.26,7.2,1.83,7.18,1.83
600928,西安银行,"Bank of Xi'an Co.,Ltd.",1.02,0,2,2,False,6.87,6.94,6.84,6.93,6.86,0.07,1.46,127178.36,87649.451,SH,2.8615,1.12,6.86,1.61,6.82,4.21,6.74,4.05
600939,重庆建工,"Chongqing Construction Engineering Group Co.,Ltd",1.1,0,3,3,False,4.55,4.59,4.5,4.58,4.53,0.05,1.99,32557.39,14819.892,SH,0.7949,1.68,4.54,1.78,4.53,2.0,4.52,1.55
600958,东方证券,Orient Securities Company Limited,0.21,0,2,0,False,9.68,9.74,9.58,9.7,9.68,0.02,1.65,75027.04,72520.95,SH,0.1322,0.99,9.68,0.21,9.71,0.41,9.71,-2.22
600968,海油发展,Cnooc Energy Technology & Services Limited,3.57,0,3,1,False,2.81,2.92,2.8,2.9,2.8,0.1,4.29,838836.5,241318.263,SH,4.4975,2.71,2.82,5.07,2.81,5.45,2.78,3.94
600970,中材国际,"Sinoma International Engineering Co.,Ltd",4.66,0,2,2,False,6.03,6.29,5.99,6.29,6.01,0.28,4.99,345270.89,214367.262,SH,1.9877,4.5,6.1,4.66,6.08,5.01,6.07,4.14
600971,恒源煤电,"Anhui Hengyuan Coal Industry and Electricity Power Co.,Ltd",4.34,0,6,0,False,5.51,5.82,5.51,5.77,5.53,0.24,5.61,195518.79,112061.27,SH,1.6293,3.16,5.6,7.85,5.49,9.28,5.39,9.07
600979,广安爱众,"Sichuan Guangan AAA Public Co., Ltd",1.71,0,3,1,False,4.11,4.3,4.07,4.17,4.1,0.07,5.61,54125.39,22676.436,SH,0.571,5.12,4.11,2.96,4.09,3.99,4.05,3.73
600983,惠而浦,"Whirlpool (China) Co., Ltd.",0.21,0,2,0,False,4.82,4.84,4.79,4.83,4.82,0.01,1.04,7008.4,3373.812,SH,0.1315,0.88,4.81,0.63,4.81,0.21,4.83,-1.63
600985,淮北矿业,"Huaibei Mining Holdings Co.,Ltd.",6.48,0,2,1,False,9.19,9.78,9.19,9.7,9.11,0.59,6.48,109378.74,104398.982,SH,1.9788,3.76,9.28,6.95,9.2,7.54,9.13,7.42
600989,宝丰能源,"Ningxia Baofeng Energy Group Co., Ltd.",0.85,0,2,4,False,9.42,9.55,9.42,9.47,9.39,0.08,1.38,142556.1,135302.084,SH,1.9439,0.65,9.39,0.42,9.42,3.05,9.17,4.99
600995,文山电力,"Yunnan Wenshan Electric Power Co.,Ltd.",2.55,0,2,1,False,7.48,7.65,7.47,7.63,7.44,0.19,2.42,102695.01,77807.385,SH,2.1461,3.44,7.49,2.42,7.48,3.81,7.45,3.25
600997,开滦股份,"Kailuan Energy Chemical Co.,Ltd.",5.05,0,2,1,False,5.32,5.49,5.32,5.41,5.15,0.26,3.3,338032.37,182433.524,SH,2.7379,4.0,5.22,5.66,5.17,7.77,5.11,6.71
600998,九州通,"Jointown Pharmaceutical Group Co., Ltd",0.38,0,2,0,False,13.17,13.25,13.01,13.22,13.17,0.05,1.82,64658.19,84668.107,SH,0.3864,0.77,13.13,1.77,13.16,0.38,13.17,0.61
601000,唐山港,"Tangshan Port Group Co.,Ltd.",1.17,0,2,0,False,2.56,2.6,2.55,2.6,2.57,0.03,1.95,271929.9,70292.642,SH,0.4879,2.06,2.58,1.17,2.58,2.77,2.56,1.96
601001,大同煤业,"Datong Coal Industry Co., Ltd",3.55,0,2,0,False,4.22,4.39,4.22,4.37,4.22,0.15,4.03,255609.15,110675.314,SH,1.5272,4.22,4.25,4.3,4.22,6.07,4.17,6.33
601003,柳钢股份,"Liuzhou Iron & Steel Co.,Ltd.",10.08,1,2,2,False,5.22,5.68,5.2,5.68,5.16,0.52,9.3,607020.35,339029.937,SH,2.3686,5.27,5.24,16.39,5.09,17.6,4.92,20.85
601005,重庆钢铁,Chongqing Iron & Steel Company Limited,2.76,0,3,0,False,1.81,1.9,1.8,1.86,1.81,0.05,5.52,322028.57,59813.922,SH,0.3843,2.0,1.82,3.91,1.81,6.9,1.76,6.9
