code,name,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date
300732,设研院,10.5597,11.4142,1.4445,2.7982,2.3552,19187.5842,11805.6884,9084.0884,318513.8977,195974.4274,河南,建筑工程,河南省交通规划设计研究院股份有限公司,"Henan Provincial Communications Planning & Design Institute Co., Ltd",创业板,SZSE,CNY,L,20171212,
300733,西菱动力,26.6556,76.452,1.567,3.4116,3.7578,16000.0,6783.7512,6755.3912,177760.0,75367.4758,四川,汽车配件,成都西菱动力科技股份有限公司,Chengdu Xiling Power Science & Technology Incorporated Company,创业板,SZSE,CNY,L,20180116,
300735,光弘科技,44.4689,30.2009,6.029,7.6054,4.826,46108.4,16580.1411,16580.1411,1215417.424,437052.5194,广东,通信设备,惠州光弘科技股份有限公司,"DBG Technology Co., Ltd.",创业板,SZSE,CNY,L,20171229,
300736,百邦科技,50.0959,,3.9677,2.1474,2.7928,13057.224,7997.7421,4662.0701,135403.4129,82936.5856,北京,通信设备,北京百华悦邦科技股份有限公司,Bybon Group Company Limited,创业板,SZSE,CNY,L,20180109,
300737,科顺股份,38.379,24.2711,2.2831,2.2961,1.6147,60772.36,29847.0926,29647.0874,711036.612,349210.9834,广东,其他建材,科顺防水科技股份有限公司,"Keshun Waterproof Technologies Co., Ltd.",创业板,SZSE,CNY,L,20180125,
300738,奥飞数据,60.4345,36.7319,5.2989,8.5174,4.6168,11747.88,6025.68,6025.68,350086.824,179565.264,广东,电信运营,广东奥飞数据科技股份有限公司,"Guangdong Aofei Data Technology Co., Ltd.",创业板,SZSE,CNY,L,20180119,
300739,明阳电路,37.9483,35.7981,3.5575,4.0671,4.1005,27720.0,7020.0,7020.0,460152.0,116532.0,深圳,元器件,深圳明阳电路科技股份有限公司,"Sunshine Global Circuits Co.,Ltd.",创业板,SZSE,CNY,L,20180201,
300740,御家汇,24.7837,115.4617,2.6871,1.4428,1.4622,41112.0808,19956.8583,14419.994,323963.1967,157260.0434,湖南,日用化工,御家汇股份有限公司,"Yujiahui Co., Ltd.",创业板,SZSE,CNY,L,20180208,
300741,华宝股份,14.9505,14.3599,2.3841,8.1036,7.9946,61588.0,11588.0,11588.0,1757721.52,330721.52,西藏,食品,华宝香精股份有限公司,"Huabao Flavours & Fragrances Co.,Ltd",创业板,SZSE,CNY,L,20180301,
300742,越博动力,76.5304,,1.5388,3.2907,5.4309,7849.857,4296.0832,3395.7615,162335.0428,88843.0006,江苏,汽车配件,南京越博动力系统股份有限公司,"Nanjng YueBoo Power System Co., Ltd.",创业板,SZSE,CNY,L,20180508,
300743,天地数码,59.6255,60.2808,4.8657,4.6808,4.6004,9815.7,5461.7455,3791.4771,189835.638,105630.158,浙江,IT设备,杭州天地数码科技股份有限公司,"Hangzhou Todaytec Digital Co., Ltd",创业板,SZSE,CNY,L,20180427,
300745,欣锐科技,27.9138,47.9139,2.0867,3.2099,3.3388,11451.2352,6421.8515,5825.0535,230169.8275,129079.2152,深圳,汽车配件,深圳欣锐科技股份有限公司,"Shinry Technologies Co.,Ltd",创业板,SZSE,CNY,L,20180523,
300746,汉嘉设计,38.5212,37.0361,2.5344,3.0852,2.8511,22573.8328,6302.5,6302.5,291428.1814,81365.275,浙江,建筑工程,汉嘉设计集团股份有限公司,"Hanjia Design Group Co.,Ltd.",创业板,SZSE,CNY,L,20180525,
300747,锐科激光,43.8578,54.461,8.4292,12.9749,10.5667,19200.0,9840.8137,7422.7376,1896960.0,972272.3936,湖北,元器件,武汉锐科光纤激光技术股份有限公司,"Wuhan Raycus Fiber Laser Technologies Co., Ltd.",创业板,SZSE,CNY,L,20180625,
300748,金力永磁,114.0038,120.6478,14.3492,13.0151,11.372,41342.4188,25450.3188,11210.3188,1678088.7791,1033028.4401,江西,元器件,江西金力永磁科技股份有限公司,"Jl Mag Rare-Earth Co.,Ltd.",创业板,SZSE,CNY,L,20180921,
300749,顶固集创,31.1323,30.5592,3.1037,2.8676,2.6976,20516.94,8890.02,8890.02,238201.6734,103213.1322,广东,家居用品,广东顶固集创家居股份有限公司,"Guangdong Topstrong Living Innovation & Integration Co.,Ltd.",创业板,SZSE,CNY,L,20180925,
300750,宁德时代,57.3774,43.4487,5.2604,6.563,4.485,220839.97,120258.9511,89725.1927,19433917.36,10582787.6968,福建,电气设备,宁德时代新能源科技股份有限公司,"Contemporary Amperex Technology Co., Limited",创业板,SZSE,CNY,L,20180611,
300751,迈为股份,36.6071,29.2678,4.8568,7.942,5.0899,5200.0,2891.8888,1411.5764,625716.0,347980.9793,江苏,专用机械,苏州迈为科技股份有限公司,"Suzhou Maxwell Technologies Co., Ltd",创业板,SZSE,CNY,L,20181109,
300752,隆利科技,18.3958,31.426,3.736,1.9191,1.8624,11625.792,2906.448,2906.448,297504.0173,74376.0043,深圳,元器件,深圳市隆利科技股份有限公司,"Shenzhen Longli Technology Co.,Ltd",创业板,SZSE,CNY,L,20181130,
300753,爱朋医疗,49.8474,36.4392,5.3924,11.7228,9.7824,8080.0,2020.0,2020.0,349379.2,87344.8,江苏,医疗保健,江苏爱朋医疗科技股份有限公司,"Jiangsu Apon Medical Technology Co., Ltd.",创业板,SZSE,CNY,L,20181213,
300755,华致酒行,43.1862,30.6068,3.9175,3.5693,2.773,41679.84,10394.364,10394.364,971140.272,242188.6812,云南,其他商业,华致酒行连锁管理股份有限公司,"Vats Liquor Chain Store Management Joint Stock Co., Ltd.",创业板,SZSE,CNY,L,20190129,
300756,中山金马,25.053,30.337,2.3666,4.7194,4.1088,7288.7,1800.0,1800.0,245629.19,60660.0,广东,专用机械,中山市金马科技娱乐设备股份有限公司,Golden Horse Technology Entertainment Corporation Limited,创业板,SZSE,CNY,L,20181228,
300757,罗博特科,33.6026,35.7583,4.54,4.8638,3.8369,10400.0,2600.0,2600.0,320320.0,80080.0,江苏,专用机械,罗博特科智能科技股份有限公司,"RoboTechnik Intelligent Technology Co., LTD",创业板,SZSE,CNY,L,20190108,
